id,city,month,match_type,team_a,team_b,toss_won,toss_decision,venue,score_a,score_b,winner
72,,February,T20,England,Pakistan,England,bat,Dubai International Cricket Stadium,150,112,England
73,Barbados,May,T20,England,Pakistan,England,field,"Kensington Oval, Bridgetown",151,147,England
74,Cardiff,September,T20,England,Pakistan,England,field,Sophia Gardens,129,126,England
75,Kuala Lumpur,December,T20,England,Pakistan,Pakistan,field,Kinrara Academy Oval,154,125,England
76,Kuala Lumpur,December,T20,England,Pakistan,England,bat,Kinrara Academy Oval,185,101,England
77,Chennai,March,T20,England,Pakistan,England,bat,"MA Chidambaram Stadium, Chepauk",148,80,England
78,Chelmsford,July,T20,England,Pakistan,England,bat,County Ground,170,113,England
79,Cardiff,September,T20,England,Pakistan,Pakistan,bat,Sophia Gardens,90,89,England
80,Loughborough,July,T20,England,Pakistan,Pakistan,bat,Haslegrave Ground,115,116,Pakistan
81,Bristol,July,T20,England,Pakistan,England,bat,County Ground,187,119,England
82,Canberra,February,T20,England,Pakistan,Pakistan,field,Manuka Oval,158,116,England
