id,city,month,match_type,team,batsman,position,bowler,over_no,ball_no,venue,wicket_out,score
189,,February,ODI,Pakistan,Shoaib Malik,3,V Sehwag,30,6,Rawalpindi Cricket Stadium,False,1
190,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,30,7,Rawalpindi Cricket Stadium,False,1
191,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,31,1,Rawalpindi Cricket Stadium,False,4
192,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,31,2,Rawalpindi Cricket Stadium,False,0
193,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,31,3,Rawalpindi Cricket Stadium,False,1
194,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,31,4,Rawalpindi Cricket Stadium,False,1
195,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,31,5,Rawalpindi Cricket Stadium,False,0
196,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,31,6,Rawalpindi Cricket Stadium,False,1
197,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,32,1,Rawalpindi Cricket Stadium,False,0
198,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,32,2,Rawalpindi Cricket Stadium,False,1
199,,February,ODI,Pakistan,Shoaib Malik,3,V Sehwag,32,3,Rawalpindi Cricket Stadium,False,1
200,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,32,4,Rawalpindi Cricket Stadium,False,4
201,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,32,5,Rawalpindi Cricket Stadium,False,0
202,,February,ODI,Pakistan,Younis Khan,6,V Sehwag,32,6,Rawalpindi Cricket Stadium,False,1
203,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,33,1,Rawalpindi Cricket Stadium,False,1
204,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,33,2,Rawalpindi Cricket Stadium,False,0
205,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,33,3,Rawalpindi Cricket Stadium,False,0
206,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,33,4,Rawalpindi Cricket Stadium,False,0
207,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,33,5,Rawalpindi Cricket Stadium,False,0
208,,February,ODI,Pakistan,Shoaib Malik,3,SR Tendulkar,33,6,Rawalpindi Cricket Stadium,False,1
209,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,34,1,Rawalpindi Cricket Stadium,False,2
210,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,34,2,Rawalpindi Cricket Stadium,False,0
211,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,34,3,Rawalpindi Cricket Stadium,False,1
212,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,34,4,Rawalpindi Cricket Stadium,False,0
213,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,34,5,Rawalpindi Cricket Stadium,False,4
214,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,34,6,Rawalpindi Cricket Stadium,False,1
215,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,34,7,Rawalpindi Cricket Stadium,False,0
216,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,35,1,Rawalpindi Cricket Stadium,False,0
217,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,35,2,Rawalpindi Cricket Stadium,False,0
218,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,35,3,Rawalpindi Cricket Stadium,False,0
219,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,35,4,Rawalpindi Cricket Stadium,False,4
220,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,35,5,Rawalpindi Cricket Stadium,False,0
221,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,35,6,Rawalpindi Cricket Stadium,False,0
222,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,36,1,Rawalpindi Cricket Stadium,False,2
223,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,36,2,Rawalpindi Cricket Stadium,False,0
224,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,36,3,Rawalpindi Cricket Stadium,False,1
225,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,36,4,Rawalpindi Cricket Stadium,False,1
226,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,36,5,Rawalpindi Cricket Stadium,False,0
227,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,36,6,Rawalpindi Cricket Stadium,False,0
228,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,37,1,Rawalpindi Cricket Stadium,False,2
229,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,37,2,Rawalpindi Cricket Stadium,False,1
230,,February,ODI,Pakistan,Shahid Afridi,7,SR Tendulkar,37,3,Rawalpindi Cricket Stadium,False,6
231,,February,ODI,Pakistan,Shahid Afridi,7,SR Tendulkar,37,4,Rawalpindi Cricket Stadium,False,1
232,,February,ODI,Pakistan,Younis Khan,6,SR Tendulkar,37,5,Rawalpindi Cricket Stadium,False,1
233,,February,ODI,Pakistan,Shahid Afridi,7,SR Tendulkar,37,6,Rawalpindi Cricket Stadium,False,4
234,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,38,1,Rawalpindi Cricket Stadium,False,2
235,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,38,2,Rawalpindi Cricket Stadium,False,1
236,,February,ODI,Pakistan,Shahid Afridi,7,IK Pathan,38,3,Rawalpindi Cricket Stadium,True,0
237,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,38,4,Rawalpindi Cricket Stadium,False,0
238,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,38,5,Rawalpindi Cricket Stadium,False,0
239,,February,ODI,Pakistan,Younis Khan,6,IK Pathan,38,6,Rawalpindi Cricket Stadium,False,1
240,,February,ODI,Pakistan,Younis Khan,6,S Sreesanth,39,1,Rawalpindi Cricket Stadium,False,0
241,,February,ODI,Pakistan,Younis Khan,6,S Sreesanth,39,2,Rawalpindi Cricket Stadium,False,0
