id,match_type,month,city,position,bat_team,batsman,bowling_team,venue,score
7221,ODI,August,,3,Pakistan,Mohammad Hafeez,Zimbabwe,Harare Sports Club,72
7222,ODI,August,,4,Pakistan,Misbah-ul-Haq,Zimbabwe,Harare Sports Club,83
7223,ODI,August,,5,Pakistan,Umar Amin,Zimbabwe,Harare Sports Club,1
7224,ODI,August,,6,Pakistan,Shahid Afridi,Zimbabwe,Harare Sports Club,11
7225,ODI,August,,7,Pakistan,Haris Sohail,Zimbabwe,Harare Sports Club,2
7226,ODI,August,,8,Pakistan,Sarfraz Ahmed,Zimbabwe,Harare Sports Club,9
7227,ODI,August,,9,Pakistan,Saeed Ajmal,Zimbabwe,Harare Sports Club,3
7228,ODI,August,,1,Zimbabwe,H Masakadza,Pakistan,Harare Sports Club,86
7229,ODI,August,,2,Zimbabwe,V Sibanda,Pakistan,Harare Sports Club,59
7230,ODI,August,,3,Zimbabwe,BRM Taylor,Pakistan,Harare Sports Club,44
7231,ODI,August,,4,Zimbabwe,T Maruma,Pakistan,Harare Sports Club,18
7232,ODI,August,,5,Zimbabwe,SC Williams,Pakistan,Harare Sports Club,39
7233,ODI,May,Lahore,1,Zimbabwe,V Sibanda,Pakistan,Gaddafi Stadium,15
7234,ODI,May,Lahore,2,Zimbabwe,CJ Chibhabha,Pakistan,Gaddafi Stadium,101
7235,ODI,May,Lahore,3,Zimbabwe,H Masakadza,Pakistan,Gaddafi Stadium,18
7236,ODI,May,Lahore,4,Zimbabwe,SC Williams,Pakistan,Gaddafi Stadium,5
7237,ODI,May,Lahore,5,Zimbabwe,Sikandar Raza,Pakistan,Gaddafi Stadium,102
7238,ODI,May,Lahore,6,Zimbabwe,R Mutumbami,Pakistan,Gaddafi Stadium,10
7239,ODI,May,Lahore,7,Zimbabwe,CK Coventry,Pakistan,Gaddafi Stadium,10
7240,ODI,May,Lahore,8,Zimbabwe,AG Cremer,Pakistan,Gaddafi Stadium,2
7241,ODI,May,Lahore,9,Zimbabwe,T Panyangara,Pakistan,Gaddafi Stadium,5
7242,ODI,May,Lahore,1,Pakistan,Azhar Ali,Zimbabwe,Gaddafi Stadium,103
7243,ODI,May,Lahore,2,Pakistan,Sarfraz Ahmed,Zimbabwe,Gaddafi Stadium,22
7244,ODI,May,Lahore,3,Pakistan,Mohammad Hafeez,Zimbabwe,Gaddafi Stadium,15
7245,ODI,May,Lahore,4,Pakistan,Asad Shafiq,Zimbabwe,Gaddafi Stadium,40
7246,ODI,May,Lahore,5,Pakistan,Haris Sohail,Zimbabwe,Gaddafi Stadium,52
7247,ODI,May,Lahore,6,Pakistan,Shoaib Malik,Zimbabwe,Gaddafi Stadium,37
7248,ODI,March,,1,Pakistan,Ahmed Shehzad,Australia,Adelaide Oval,5
7249,ODI,March,,2,Pakistan,Sarfraz Ahmed,Australia,Adelaide Oval,15
7250,ODI,March,,3,Pakistan,Haris Sohail,Australia,Adelaide Oval,42
7251,ODI,March,,4,Pakistan,Misbah-ul-Haq,Australia,Adelaide Oval,37
7252,ODI,March,,5,Pakistan,Umar Akmal,Australia,Adelaide Oval,20
7253,ODI,March,,6,Pakistan,Sohaib Maqsood,Australia,Adelaide Oval,30
7254,ODI,March,,7,Pakistan,Shahid Afridi,Australia,Adelaide Oval,23
7255,ODI,March,,8,Pakistan,Wahab Riaz,Australia,Adelaide Oval,16
7256,ODI,March,,9,Pakistan,Ehsan Adil,Australia,Adelaide Oval,15
7257,ODI,March,,10,Pakistan,Sohail Khan,Australia,Adelaide Oval,4
7258,ODI,March,,11,Pakistan,Rahat Ali,Australia,Adelaide Oval,6
7259,ODI,March,,1,Australia,DA Warner,Pakistan,Adelaide Oval,25
7260,ODI,March,,2,Australia,AJ Finch,Pakistan,Adelaide Oval,2
7261,ODI,March,,3,Australia,SPD Smith,Pakistan,Adelaide Oval,66
7262,ODI,March,,4,Australia,MJ Clarke,Pakistan,Adelaide Oval,8
